participant_id,label,item_order,no,item,condition,counterbalancing,left,right,r1_rt,r2_rt,r3_rt,r4_rt,r5_rt,r6_rt,r7_rt,question_rt,choice_rt,choice_side,choice_time,et_calibration,et_calibration_time,et_file,et_file_time,left_dominant,left_fixation_count,left_dwell,left_tff,left_revisits,left_avg_fix,right_dominant,right_fixation_count,right_dwell,right_tff,right_revisits,right_avg_fix
a,experiment,45,19.0,,n,szakács,dolgozó,participant_id,0.0,227.0,169.0,170.0,566.0,,159.0,5618.0,5998.0,left,1758195644648.0,72,1758195626236.0,httpsfarmpcibexnetrDigcCS/bdc17927-53a3-24cb-4607-15e00152ec65,1758195645653.0,1.0,4.0,2145.0,0.0,3.0,536.25,0.0,3.0,274.0,38.0,2.0,91.33333333333333
a,experiment,46,10.0,,y,10b,10a,participant_id,0.0,181.0,165.0,155.0,179.0,166.0,157.0,,3809.0,right,1758196051640.0,60,1758196042396.0,httpsfarmpcibexnetrDigcCS/bdc17927-53a3-24cb-4607-15e00152ec65,1758196052644.0,1.0,3.0,2918.0,70.0,2.0,972.6666666666666,0.0,2.0,83.0,2748.0,1.0,41.5
a,experiment,47,30.0,,y,diák,tanár,participant_id,0.0,350.0,203.0,178.0,148.0,,308.0,1729.0,2868.0,right,1758195995611.0,62,1758195985290.0,httpsfarmpcibexnetrDigcCS/bdc17927-53a3-24cb-4607-15e00152ec65,1758195996613.0,1.0,10.0,3630.0,128.0,9.0,363.0,0.0,10.0,1319.0,0.0,9.0,131.9
a,experiment,48,22.0,,n,vezérigazgató,menedzser,participant_id,0.0,228.0,178.0,181.0,206.0,,151.0,3439.0,3407.0,left,1758196265252.0,75,1758196252538.0,httpsfarmpcibexnetrDigcCS/bdc17927-53a3-24cb-4607-15e00152ec65,1758196266257.0,0.0,7.0,719.0,0.0,6.0,102.71428571428571,1.0,6.0,996.0,89.0,5.0,166.0
a,experiment,49,13.0,,n,13a,13b,participant_id,0.0,189.0,167.0,176.0,153.0,170.0,178.0,,4867.0,left,1758195911206.0,70,1758195899924.0,httpsfarmpcibexnetrDigcCS/bdc17927-53a3-24cb-4607-15e00152ec65,1758195912229.0,0.0,3.0,237.0,432.0,2.0,79.0,1.0,4.0,1474.0,91.0,3.0,368.5
a,experiment,50,7.0,,n,7a,7b,participant_id,0.0,211.0,179.0,162.0,167.0,170.0,156.0,,4150.0,left,1758196300452.0,78,1758196290834.0,httpsfarmpcibexnetrDigcCS/bdc17927-53a3-24cb-4607-15e00152ec65,1758196301458.0,1.0,5.0,1786.0,142.0,4.0,357.2,0.0,5.0,559.0,0.0,4.0,111.8
b,experiment,10,16.0,,n,16a,16b,participant_id,,,,,,,,,,,,,,,,1.0,8.0,2692.0,0.0,7.0,336.5,0.0,8.0,1017.0,554.0,7.0,127.125
b,experiment,11,33.0,,y,paradicsom,burgonya,participant_id,,,,,,,,,,,,,,,,1.0,11.0,2745.0,278.0,10.0,249.54545454545453,0.0,11.0,1215.0,0.0,10.0,110.45454545454545
b,experiment,12,12.0,,y,12b,12a,participant_id,,,,,,,,,,,,,,,,1.0,2.0,1581.0,46.0,1.0,790.5,0.0,2.0,911.0,0.0,1.0,455.5
b,experiment,13,29.0,,n,földműves,munkás,participant_id,,,,,,,,,,,,,,,,0.0,6.0,989.0,124.0,5.0,164.83333333333334,1.0,5.0,1381.0,289.0,4.0,276.2
b,experiment,14,22.0,,y,menedzser,vezérigazgató,participant_id,,,,,,,,,,,,,,,,0.0,8.0,2404.0,50.0,7.0,300.5,1.0,8.0,2957.0,774.0,7.0,369.625
b,experiment,15,23.0,,y,rendőr,biztonsági őr,participant_id,,,,,,,,,,,,,,,,0.0,4.0,990.0,30.0,3.0,247.5,1.0,5.0,1402.0,0.0,4.0,280.4
b,experiment,16,5.0,,n,5a,5b,participant_id,,,,,,,,,,,,,,,,0.0,8.0,2098.0,613.0,7.0,262.25,1.0,9.0,2596.0,0.0,8.0,288.44444444444446
b,experiment,17,26.0,,y,pilóta,professzor,participant_id,,,,,,,,,,,,,,,,1.0,6.0,1926.0,44.0,5.0,321.0,0.0,6.0,1523.0,215.0,5.0,253.83333333333334
b,experiment,18,17.0,,n,17a,17b,participant_id,,,,,,,,,,,,,,,,0.0,2.0,1923.0,0.0,1.0,961.5,1.0,2.0,2882.0,860.0,1.0,1441.0
b,experiment,19,10.0,,n,10a,10b,participant_id,,,,,,,,,,,,,,,,0.0,6.0,723.0,0.0,5.0,120.5,1.0,5.0,1823.0,148.0,4.0,364.6
b,experiment,20,30.0,,n,diák,tanár,participant_id,,,,,,,,,,,,,,,,1.0,3.0,1724.0,113.0,2.0,574.6666666666666,0.0,3.0,277.0,38.0,2.0,92.33333333333333
b,experiment,21,21.0,,n,orvos,tűzoltó,participant_id,,,,,,,,,,,,,,,,0.0,10.0,1897.0,48.0,9.0,189.7,1.0,10.0,3607.0,86.0,9.0,360.7
b,experiment,22,25.0,,y,tudós,ügyész,participant_id,,,,,,,,,,,,,,,,0.0,8.0,1049.0,0.0,7.0,131.125,1.0,8.0,1595.0,34.0,7.0,199.375
b,experiment,23,1.0,,y,1b,1a,participant_id,,,,,,,,,,,,,,,,0.0,9.0,2493.0,86.0,8.0,277.0,1.0,9.0,5834.0,212.0,8.0,648.2222222222222
