MD5,trial,label,PennElementType,PennElementName,Parameter,Value,participant_id,group,no,item,exp,condition,cb,left,right,target,results_time,event_time,elapsed_ms
5ea96059c7f8c9bb71d4ecdb67ea496e,12,experiment,Selector,choice_selector,Selection,left_canvas,60d26e7cd9f0761e4d12b9f8,a,76,24,2,other-directed,y,mérnök,építész,építész,2025-09-22 16:33:59+00:00,2025-09-22 16:09:16.825000+00:00,3113.0
5ea96059c7f8c9bb71d4ecdb67ea496e,13,experiment,EyeTracker,tracker,calibration,66,60d26e7cd9f0761e4d12b9f8,a,17,6,1,focus,n,6a,6b,,2025-09-22 16:33:59+00:00,2025-09-22 16:09:20.852000+00:00,4022.0
5ea96059c7f8c9bb71d4ecdb67ea496e,13,experiment,EyeTracker,tracker,Filename,httpsfarmpcibexnetpzCPVqO/e48687db-1afc-905a-9709-fabcc6e4dfe4,60d26e7cd9f0761e4d12b9f8,a,17,6,1,focus,n,6a,6b,,2025-09-22 16:33:59+00:00,2025-09-22 16:09:37.158000+00:00,16306.0
5ea96059c7f8c9bb71d4ecdb67ea496e,13,experiment,Canvas,right_canvas,Print,NA,60d26e7cd9f0761e4d12b9f8,a,17,6,1,focus,n,6a,6b,,2025-09-22 16:33:59+00:00,2025-09-22 16:09:36.344000+00:00,-814.0
5ea96059c7f8c9bb71d4ecdb67ea496e,13,experiment,Key,r0,PressedKey,,60d26e7cd9f0761e4d12b9f8,a,17,6,1,focus,n,6a,6b,,2025-09-22 16:33:59+00:00,2025-09-22 16:09:28.381000+00:00,-7963.0
5ea96059c7f8c9bb71d4ecdb67ea496e,13,experiment,Key,r1,PressedKey,,60d26e7cd9f0761e4d12b9f8,a,17,6,1,focus,n,6a,6b,,2025-09-22 16:33:59+00:00,2025-09-22 16:09:29.035000+00:00,654.0
5ea96059c7f8c9bb71d4ecdb67ea496e,13,experiment,Key,r2,PressedKey,,60d26e7cd9f0761e4d12b9f8,a,17,6,1,focus,n,6a,6b,,2025-09-22 16:33:59+00:00,2025-09-22 16:09:29.898000+00:00,863.0
5ea96059c7f8c9bb71d4ecdb67ea496e,13,experiment,Key,r3,PressedKey,,60d26e7cd9f0761e4d12b9f8,a,17,6,1,focus,n,6a,6b,,2025-09-22 16:33:59+00:00,2025-09-22 16:09:30.632000+00:00,734.0
5ea96059c7f8c9bb71d4ecdb67ea496e,13,experiment,Key,r4,PressedKey,,60d26e7cd9f0761e4d12b9f8,a,17,6,1,focus,n,6a,6b,,2025-09-22 16:33:59+00:00,2025-09-22 16:09:31.332000+00:00,700.0
5ea96059c7f8c9bb71d4ecdb67ea496e,13,experiment,Key,r5,PressedKey,,60d26e7cd9f0761e4d12b9f8,a,17,6,1,focus,n,6a,6b,,2025-09-22 16:33:59+00:00,2025-09-22 16:09:31.945000+00:00,613.0
