results_time,participant_id,group,trial,label,no,item,exp,condition,cb,left,right,target,r1,r2,r3,r4,r5,r6,r7,question_rt,choice_rt,choice,mismatch,chosen_type,dominant,prop_left,prop_right,total_dwell,dwell_left,dwell_right,n_fix_left,n_fix_right,transitions,tff,ffl,fixations_left,fixations_right,fixation_count_total,revisits_left,revisits_right,revisits_total
2025-09-25 17:42:12,5d4fe6a2ffbcf800019d5e54,c,40,experiment,25,9,1,exclusive,n,9a,9b,9a,490.0,326.0,373.0,370.0,365.0,647.0,448.0,,1002.0,left,False,A,left,0.64,0.36,0.67,0.43,0.24,1.0,1.0,1.0,0.0,right,1.0,1.0,2.0,0.0,0.0,0.0
2025-09-25 17:42:12,5d4fe6a2ffbcf800019d5e54,c,43,experiment,30,10,1,contrastive,y,10b,10a,10b,537.0,447.0,405.0,468.0,424.0,1791.0,922.0,,1521.0,left,False,B,left,0.92,0.08,1.19,1.09,0.1,3.0,1.0,2.0,0.0,left,3.0,1.0,4.0,2.0,0.0,2.0
2025-09-25 17:42:12,5d4fe6a2ffbcf800019d5e54,c,22,experiment,32,11,1,focus,y,11b,11a,,447.0,409.0,418.0,382.0,354.0,387.0,589.0,,1018.0,right,False,A,right,0.12,0.88,0.84,0.1,0.74,1.0,1.0,1.0,0.0,left,1.0,1.0,2.0,0.0,0.0,0.0
2025-09-25 17:42:12,5d4fe6a2ffbcf800019d5e54,c,10,experiment,34,12,1,exclusive,y,12b,12a,12a,805.0,535.0,520.0,1465.0,585.0,1077.0,1433.0,,1531.0,right,False,A,right,0.43,0.57,1.42,0.61,0.81,1.0,2.0,2.0,0.0,right,1.0,2.0,3.0,0.0,1.0,1.0
2025-09-25 17:42:12,5d4fe6a2ffbcf800019d5e54,c,20,experiment,39,13,1,contrastive,n,13a,13b,13b,561.0,483.0,444.0,432.0,464.0,484.0,1006.0,,5758.0,right,False,B,right,0.15,0.85,5.61,0.81,4.79,2.0,4.0,2.0,0.0,right,2.0,4.0,6.0,1.0,3.0,4.0
2025-09-25 17:42:12,5d4fe6a2ffbcf800019d5e54,c,29,experiment,41,14,1,focus,n,14a,14b,,522.0,475.0,397.0,464.0,428.0,472.0,1544.0,,8841.0,right,False,B,right,0.28,0.72,8.74,2.44,6.3,3.0,3.0,4.0,0.0,right,3.0,3.0,6.0,2.0,2.0,4.0
2025-09-25 17:42:12,5d4fe6a2ffbcf800019d5e54,c,15,experiment,43,15,1,exclusive,n,15a,15b,15a,578.0,388.0,1105.0,451.0,427.0,604.0,610.0,,2161.0,left,False,A,left,0.63,0.37,1.88,1.17,0.7,2.0,3.0,3.0,0.0,left,2.0,3.0,5.0,1.0,2.0,3.0
2025-09-25 17:42:12,5d4fe6a2ffbcf800019d5e54,c,25,experiment,48,16,1,contrastive,y,16b,16a,16b,457.0,391.0,412.0,378.0,377.0,707.0,617.0,,1372.0,left,False,B,left,0.56,0.44,1.22,0.68,0.54,4.0,2.0,4.0,0.0,left,4.0,2.0,6.0,3.0,1.0,4.0
2025-09-25 17:42:12,5d4fe6a2ffbcf800019d5e54,c,24,experiment,50,17,1,focus,y,17b,17a,,413.0,378.0,387.0,397.0,456.0,398.0,961.0,,1549.0,right,False,A,left,0.87,0.13,1.39,1.2,0.19,4.0,2.0,3.0,0.0,left,4.0,2.0,6.0,3.0,1.0,4.0
2025-09-25 17:42:12,5d4fe6a2ffbcf800019d5e54,c,38,experiment,52,18,1,exclusive,y,18b,18a,18a,528.0,398.0,301.0,381.0,404.0,430.0,432.0,,1599.0,right,False,A,right,0.45,0.55,1.5,0.68,0.82,1.0,1.0,1.0,0.0,left,1.0,1.0,2.0,0.0,0.0,0.0
2025-09-22 18:23:58,5dade76a4860f70017f70ec5,c,33,experiment,3,1,1,contrastive,n,1a,1b,1b,291.0,278.0,253.0,314.0,286.0,304.0,325.0,,2573.0,left,True,A,right,0.49,0.51,2.51,1.22,1.29,3.0,2.0,4.0,0.0,left,3.0,2.0,5.0,2.0,1.0,3.0
2025-09-22 18:23:58,5dade76a4860f70017f70ec5,c,36,experiment,5,2,1,focus,n,2a,2b,,270.0,240.0,246.0,246.0,459.0,324.0,302.0,,558.0,left,False,A,left,0.64,0.36,0.56,0.36,0.2,1.0,1.0,1.0,0.0,right,1.0,1.0,2.0,0.0,0.0,0.0
2025-09-22 18:23:58,5dade76a4860f70017f70ec5,c,34,experiment,7,3,1,exclusive,n,3a,3b,3a,326.0,342.0,373.0,636.0,538.0,532.0,370.0,,698.0,left,False,A,left,1.0,0.0,0.63,0.63,0.0,2.0,0.0,0.0,0.0,left,2.0,0.0,2.0,1.0,0.0,1.0
2025-09-22 18:23:58,5dade76a4860f70017f70ec5,c,47,experiment,12,4,1,contrastive,y,4b,4a,4b,300.0,252.0,248.0,193.0,284.0,324.0,282.0,,429.0,right,True,A,right,0.0,1.0,0.39,0.0,0.39,0.0,1.0,0.0,0.0,right,0.0,1.0,1.0,0.0,0.0,0.0
2025-09-22 18:23:58,5dade76a4860f70017f70ec5,c,27,experiment,14,5,1,focus,y,5b,5a,,281.0,211.0,281.0,218.0,232.0,234.0,263.0,,602.0,right,False,A,right,0.0,1.0,0.48,0.0,0.48,0.0,1.0,0.0,0.0,right,0.0,1.0,1.0,0.0,0.0,0.0
2025-09-22 18:23:58,5dade76a4860f70017f70ec5,c,17,experiment,16,6,1,exclusive,y,6b,6a,6a,276.0,293.0,246.0,242.0,312.0,310.0,319.0,,790.0,right,False,A,right,0.0,1.0,0.73,0.0,0.73,0.0,1.0,0.0,0.0,right,0.0,1.0,1.0,0.0,0.0,0.0
2025-09-22 18:23:58,5dade76a4860f70017f70ec5,c,49,experiment,21,7,1,contrastive,n,7a,7b,7b,313.0,326.0,245.0,300.0,449.0,370.0,337.0,,383.0,left,True,A,left,1.0,0.0,0.35,0.35,0.0,1.0,0.0,0.0,0.0,left,1.0,0.0,1.0,0.0,0.0,0.0
2025-09-22 18:23:58,5dade76a4860f70017f70ec5,c,12,experiment,23,8,1,focus,n,8a,8b,,360.0,361.0,324.0,305.0,318.0,303.0,288.0,,783.0,left,False,A,left,1.0,0.0,0.65,0.65,0.0,1.0,0.0,0.0,0.0,left,1.0,0.0,1.0,0.0,0.0,0.0
